"Marca temporal","Experimental ID","What is your gender identity?","How old are you?","Where do you live?","What is the primary language spoken in your home?","What is your level of education?","How many years of experience do you have with classical computing?","Which degree are you currentlly enrolled in?","What is your experience with Quantum Computing?"
"2024/05/24 1:58:32 p. m. EEST","Bari074","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 1:58:35 p. m. EEST","Bari073","Male","18-21 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 1:59:02 p. m. EEST","Bari096","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 1:59:04 p. m. EEST","Bari075","Male","22-25 years old","Italy","Italy","High school","11 or more years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 1:59:16 p. m. EEST","Bari061","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 1:59:28 p. m. EEST","Bari057","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 1:59:29 p. m. EEST","080","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 1:59:40 p. m. EEST","Bari108","Male","18-21 years old","Italy","Italy","High school","1 - 2 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 1:59:44 p. m. EEST"," Bari076","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 1:59:54 p. m. EEST","Bari075","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 1:59:58 p. m. EEST","Bari060","Male","26-30 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 1:59:58 p. m. EEST","Bari054","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:00:03 p. m. EEST","Bari084","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:00:09 p. m. EEST","Bari064","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:00:11 p. m. EEST","Bari075","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:00:13 p. m. EEST","Bari053","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:00:21 p. m. EEST","Bari078","Female","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:00:23 p. m. EEST","Bari072","Male","18-21 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:00:32 p. m. EEST","Bari101","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:00:35 p. m. EEST","Bari044","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:00:39 p. m. EEST","Bari063","Female","26-30 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:00:43 p. m. EEST","Bari058","Nonbinary","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:00:46 p. m. EEST","Bari055","Female","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:00:50 p. m. EEST","Bari037","Nonbinary","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:00:53 p. m. EEST","Bari048","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:00:57 p. m. EEST","Bari098","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:01:20 p. m. EEST","Bari 110","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:01:24 p. m. EEST","Bari022","Nonbinary","18-21 years old","Italy","Another","High school","3 - 6 years","Master degree in Computer Science","None"
"2024/05/24 2:01:30 p. m. EEST","Bari056","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:01:30 p. m. EEST","Bari097","Male","18-21 years old","Italy","Italy","High school","1 - 2 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:01:40 p. m. EEST","Bari105","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:01:46 p. m. EEST","Bari088","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:01:46 p. m. EEST","Bari030","Male","18-21 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 2:01:47 p. m. EEST","Bari070","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:01:48 p. m. EEST","Bari089","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:01:50 p. m. EEST","Bari093","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 2:01:51 p. m. EEST","Bari106","Female","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:01:52 p. m. EEST","Bari107","Female","22-25 years old","Italy","Italy","High school","1 - 2 years","Bachelor degree in Informatica","None"
"2024/05/24 2:01:52 p. m. EEST","Bari100","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:01:54 p. m. EEST","Bari029","Male","22-25 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:01:54 p. m. EEST"," Bari034","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:01:55 p. m. EEST","Bari082","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 2:02:04 p. m. EEST","Bari046","Female","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:02:06 p. m. EEST","Bari069","Male","26-30 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:02:08 p. m. EEST","Bari049","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:02:10 p. m. EEST","Bari024","Male","22-25 years old","Italy","Italy","High school","1 - 2 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:02:11 p. m. EEST","Bari028","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:02:25 p. m. EEST","Bari042","Male","18-21 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 2:02:25 p. m. EEST","Bari095","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 2:02:27 p. m. EEST","Bari065","Male","26-30 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:02:31 p. m. EEST","Bari031","Male","18-21 years old","Italy","Italy","High school","1 - 2 years","Master degree in Computer Science","None"
"2024/05/24 2:02:34 p. m. EEST","Bari068","Female","18-21 years old","Italy","Italy","High school","1 - 2 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:02:38 p. m. EEST","Bari086","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:02:41 p. m. EEST","Bari092","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:02:46 p. m. EEST","Bari039","Male","22-25 years old","Italy","Italy","Bachelor's degree","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:02:50 p. m. EEST","Bari102","Male","26-30 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:02:53 p. m. EEST","Bari036","Female","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:03:03 p. m. EEST","Bari040","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:03:03 p. m. EEST","Bari050","Male","22-25 years old","Italy","Another","High school","11 or more years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:03:03 p. m. EEST","045","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:03:04 p. m. EEST","Bari051","Male","18-21 years old","Italy","Italy","Bachelor's degree","1 - 2 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:03:08 p. m. EEST","Bari094","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:03:17 p. m. EEST","Bari041","Male","18-21 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:03:19 p. m. EEST","Bari043","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:03:19 p. m. EEST","Bari085","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:03:20 p. m. EEST","Bari099","Male","22-25 years old","Italy","Italy","High school","11 or more years","Bachelor degree in Informatica","None"
"2024/05/24 2:03:25 p. m. EEST","047","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:03:27 p. m. EEST","Bari087","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:03:47 p. m. EEST","Bari104","Female","18-21 years old","Italy","Italy","High school","1 - 2 years","Bachelor degree in Informatica","None"
"2024/05/24 2:03:56 p. m. EEST","Bari067","Female","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:04:05 p. m. EEST","Bari023","Female","22-25 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:04:07 p. m. EEST","Bari062","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:04:10 p. m. EEST","Bari109","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:04:16 p. m. EEST","Bari083","Male","18-21 years old","Italy","Italy","High school","11 or more years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:04:26 p. m. EEST","Bari081","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:04:33 p. m. EEST","Bari019","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:04:39 p. m. EEST","Bari026","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:04:45 p. m. EEST","Bari020","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:04:48 p. m. EEST","Bari066","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 2:16:20 p. m. EEST","Bari118","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:16:35 p. m. EEST","Bari119","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:18:36 p. m. EEST","Bari120","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/24 2:19:26 p. m. EEST","Bari123","Male","22-25 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:19:56 p. m. EEST","Bari122","Male","18-21 years old","Italy","Italy","High school","1 - 2 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 2:23:14 p. m. EEST","Bari121","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/06/12 10:56:44 a. m. EEST","QServ014","Male","22-25 years old","Spain","Spanish","Master's degree","11 or more years","I'm not an student anymore","1-2 years"
"2024/06/12 10:56:49 a. m. EEST","QServ015","Male","22-25 years old","Spain","Spanish","Master's degree","7 - 10 years","I'm not an student anymore","3-5 years"
"2024/06/12 10:57:14 a. m. EEST","QServ002","Male","31-40 years old","Spain","Spanish","Doctoral degree","11 or more years","I'm not an student anymore","3-5 years"
"2024/06/12 10:57:17 a. m. EEST","QServ019","Male","22-25 years old","Spain","Spanish","Bachelor's degree","1 - 2 years","Master degree in Computer Science","1-2 years"
"2024/06/12 10:57:26 a. m. EEST","QServ013","Male","22-25 years old","Spain","Spanish","Bachelor's degree","3 - 6 years","Master degree in Computer Science","1-2 years"
"2024/06/12 10:57:38 a. m. EEST","QServ012","Male","31-40 years old","Spain","Spanish","Doctoral degree","11 or more years","I'm not an student anymore","6 or more years"
"2024/06/12 10:57:59 a. m. EEST","QServ018","Female","18-21 years old","Spain","Spanish","Bachelor's degree","1 - 2 years","Bachelor degree in Informatica","1-2 years"
"2024/06/12 10:58:02 a. m. EEST","QServ016","Male","22-25 years old","Spain","Spanish","Master's degree","3 - 6 years","Bachelor degree in Informatica","3-5 years"
"2024/06/12 10:58:39 a. m. EEST","QServ007","Male","41-50 years old","Spain","Spanish","Doctoral degree","11 or more years","I'm not an student anymore","3-5 years"
"2024/06/12 10:58:55 a. m. EEST","QServ009","Male","41-50 years old","Spain","Spanish","Doctoral degree","11 or more years","I'm not an student anymore","6 or more years"
"2024/06/12 10:58:59 a. m. EEST","QServ001","Male","26-30 years old","Spain","Spanish","Master's degree","3 - 6 years","Master degree in Computer Science","1-2 years"
"2024/06/12 11:00:17 a. m. EEST","QServ021","Male","22-25 years old","Spain","Spanish","Bachelor's degree","3 - 6 years","Bachelor degree in Informatica","None"
"2024/06/12 11:00:21 a. m. EEST","QServ020","Male","22-25 years old","Spain","Spanish","High school","1 - 2 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/06/12 11:01:18 a. m. EEST","QServ010","Male","18-21 years old","Spain","Spanish","Bachelor's degree","3 - 6 years","Bachelor degree in Informatica","None"
"2024/06/12 11:58:36 a. m. EEST","QServ008","Female","26-30 years old","Spain","Spanish","Master's degree","3 - 6 years","Bachelor degree in Informatica","None"
